日期Date	指数代码Index Code	指数中文全称Index Chinese Name(Full)	指数中文简称Index Chinese Name	指数英文全称Index English Name(Full)	指数英文简称Index Chinese Name	开盘Open	最高High	最低Low	收盘Close	涨跌Change	涨跌幅(%)Change(%)	成交量（万手）Volume(M Shares)	成交金额（亿元）Turnover	样本数量ConsNumber
20200512	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1405.49	1410.01	1391.46	1408.02	1.21	0.09	1524.95	153.13	50
20200513	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1401.47	1413.69	1395.80	1411.53	3.51	0.25	1270.78	135.67	50
20200514	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1406.06	1423.74	1403.81	1406.98	-4.55	-0.32	1592.24	175.29	50
20200515	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1410.57	1416.62	1401.48	1405.78	-1.20	-0.09	1311.46	154.20	50
20200518	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1399.67	1401.27	1370.29	1380.10	-25.68	-1.83	1335.95	149.79	50
20200519	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1388.67	1399.84	1384.17	1399.21	19.11	1.38	1077.73	130.91	50
20200520	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1397.34	1405.06	1382.30	1385.54	-13.67	-0.98	1491.86	151.16	50
20200521	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1390.93	1393.03	1365.11	1367.85	-17.68	-1.28	1316.92	138.46	50
20200522	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1368.47	1371.95	1331.75	1337.95	-29.91	-2.19	1248.73	127.83	50
20200525	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1335.09	1336.70	1324.31	1331.45	-6.49	-0.49	980.53	111.23	50
20200526	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1338.24	1361.36	1337.15	1360.84	29.38	2.21	1160.17	125.45	50
20200527	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1364.73	1365.02	1339.38	1342.57	-18.27	-1.34	1040.78	118.07	50
20200528	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1343.21	1350.88	1319.72	1341.60	-0.97	-0.07	1072.55	108.01	50
20200529	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1341.69	1376.15	1337.69	1374.46	32.86	2.45	1638.39	154.94	50
20200601	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1383.19	1421.48	1383.19	1418.83	44.36	3.23	2146.51	205.54	50
20200602	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1428.18	1431.47	1409.52	1413.30	-5.52	-0.39	1939.91	181.05	50
20200603	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1420.20	1422.54	1409.19	1410.13	-3.18	-0.22	1752.24	165.51	50
20200604	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1414.98	1415.25	1401.82	1408.19	-1.93	-0.14	1635.03	162.78	50
20200605	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1410.20	1432.60	1407.29	1432.54	24.35	1.73	1785.12	173.99	50
20200608	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1439.49	1440.78	1418.42	1419.47	-13.07	-0.91	1657.21	171.41	50
20200609	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1422.87	1446.33	1414.53	1443.26	23.79	1.68	1859.88	184.13	50
20200610	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1442.23	1442.63	1428.45	1440.50	-2.76	-0.19	1597.97	166.44	50
20200611	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1442.17	1466.63	1437.42	1446.69	6.19	0.43	1926.20	224.25	50
20200612	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1414.53	1469.63	1412.33	1464.43	17.74	1.23	2108.45	236.89	50
20200615	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1478.02	1503.14	1470.30	1477.63	13.20	0.90	2295.10	260.92	50
20200616	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1492.39	1496.61	1472.44	1488.69	11.07	0.75	1780.03	221.54	50
20200617	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1493.66	1496.96	1475.62	1494.46	5.77	0.39	1881.96	214.25	50
20200618	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1494.94	1511.50	1470.06	1489.24	-5.23	-0.35	2177.36	216.18	50
20200619	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1483.25	1500.22	1476.95	1489.22	-0.01	0.00	1605.10	185.03	50
20200622	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1491.05	1493.54	1482.11	1489.57	0.34	0.02	1461.52	171.39	50
20200623	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1493.67	1537.33	1487.13	1529.90	40.34	2.71	1690.02	228.83	50
20200624	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1531.93	1544.31	1529.81	1529.89	-0.01	0.00	1347.90	183.76	50
20200629	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1521.42	1529.28	1499.09	1504.10	-25.79	-1.69	1543.64	175.48	50
20200630	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1510.63	1547.93	1509.88	1539.93	35.83	2.38	1140.21	158.46	50
20200701	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1548.48	1550.96	1515.92	1538.48	-1.45	-0.09	1442.50	199.38	50
20200702	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1532.68	1556.74	1523.15	1539.91	1.43	0.09	2337.78	246.49	50
20200703	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1539.95	1550.03	1521.59	1543.02	3.12	0.20	1898.54	211.77	50
20200706	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1546.29	1591.57	1534.25	1587.94	44.92	2.91	2453.58	299.13	50
20200707	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1591.22	1649.44	1580.98	1622.58	34.64	2.18	2493.47	325.02	50
20200708	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1623.40	1651.52	1597.86	1650.50	27.92	1.72	2213.17	281.72	50
20200709	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1647.01	1716.35	1643.99	1702.91	52.40	3.17	2560.78	329.25	50
20200710	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1694.07	1731.96	1687.69	1714.70	11.79	0.69	2345.86	308.18	50
20200713	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1712.75	1748.78	1696.46	1745.87	31.17	1.82	2573.54	299.82	50
20200714	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1737.97	1769.06	1699.74	1732.57	-13.30	-0.76	2553.52	322.33	50
20200715	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1731.25	1737.14	1652.54	1660.26	-72.31	-4.17	2109.19	292.28	50
20200716	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1662.40	1694.58	1584.47	1587.14	-73.12	-4.40	2063.62	271.43	50
20200717	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1591.20	1623.89	1572.35	1597.06	9.93	0.63	1517.97	201.26	50
20200720	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1615.89	1630.90	1583.73	1630.90	33.84	2.12	1613.40	195.93	50
20200721	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1631.52	1645.93	1619.52	1637.41	6.51	0.40	1420.43	181.67	50
20200722	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1634.80	1667.40	1621.60	1650.15	12.74	0.78	1745.13	202.59	50
20200723	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1632.10	1639.17	1579.90	1617.02	-33.14	-2.01	1699.45	208.21	50
20200724	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1608.56	1618.18	1522.77	1528.18	-88.83	-5.49	1645.91	209.17	50
20200727	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1533.56	1554.58	1518.86	1534.84	6.66	0.44	1092.37	140.22	50
20200728	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1547.61	1559.14	1536.40	1556.92	22.08	1.44	1207.42	146.77	50
20200729	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1553.78	1609.61	1550.00	1609.61	52.69	3.38	1495.99	185.47	50
20200730	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1608.35	1610.21	1579.58	1581.00	-28.61	-1.78	1715.70	176.69	50
20200731	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1580.61	1608.86	1564.26	1593.72	12.72	0.80	1782.23	191.20	50
20200803	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1609.25	1622.79	1594.65	1622.37	28.65	1.80	1928.13	221.63	50
20200804	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1624.65	1624.65	1584.77	1593.26	-29.11	-1.79	1734.91	214.64	50
20200805	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1591.05	1616.78	1583.78	1608.94	15.68	0.98	1420.83	171.34	50
20200806	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1606.80	1607.43	1557.72	1570.26	-38.68	-2.40	1535.86	194.84	50
20200807	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1567.80	1570.97	1518.50	1547.80	-22.46	-1.43	1485.58	166.48	50
20200810	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1549.17	1576.20	1543.08	1568.68	20.88	1.35	1430.86	156.95	50
20200811	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1571.55	1573.44	1532.38	1535.37	-33.31	-2.12	1546.29	167.95	50
20200812	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1534.50	1534.73	1493.03	1524.18	-11.19	-0.73	1436.13	168.39	50
20200813	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1532.83	1538.22	1519.78	1529.52	5.34	0.35	1138.17	125.41	50
20200814	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1528.68	1553.85	1524.99	1552.19	22.67	1.48	973.34	115.41	50
20200817	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1558.53	1585.39	1555.59	1585.39	33.20	2.14	1575.98	177.03	50
20200818	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1581.39	1586.94	1567.05	1582.98	-2.41	-0.15	1345.90	158.92	50
20200819	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1581.99	1581.99	1539.99	1539.99	-42.99	-2.72	1195.30	139.20	50
20200820	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1534.89	1555.93	1526.20	1541.48	1.49	0.10	1143.24	132.78	50
20200821	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1560.68	1600.79	1560.68	1593.25	51.76	3.36	1637.15	198.73	50
20200824	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1602.89	1631.50	1588.60	1624.40	31.16	1.96	1743.58	199.16	50
20200825	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1626.13	1642.19	1622.02	1631.95	7.55	0.46	1705.50	193.21	50
20200826	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1637.66	1640.24	1611.43	1619.30	-12.65	-0.78	1550.31	183.90	50
20200827	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1629.05	1637.28	1615.04	1624.70	5.41	0.33	1601.11	185.28	50
20200828	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1621.28	1651.15	1616.35	1651.15	26.45	1.63	1501.13	183.42	50
20200831	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1659.68	1670.38	1631.84	1632.72	-18.43	-1.12	1539.25	201.40	50
20200901	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1630.72	1636.22	1611.74	1636.15	3.42	0.21	1184.60	144.92	50
20200902	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1641.71	1657.96	1625.58	1653.02	16.87	1.03	1609.44	182.91	50
20200903	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1652.60	1652.60	1626.77	1632.52	-20.50	-1.24	1356.12	155.31	50
20200904	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1605.45	1631.32	1602.00	1628.79	-3.73	-0.23	1615.74	160.10	50
20200907	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1626.87	1645.36	1591.95	1598.34	-30.44	-1.87	2187.11	206.85	50
20200908	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1599.46	1613.74	1591.43	1613.15	14.81	0.93	1724.82	167.05	50
20200909	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1593.00	1593.97	1547.64	1548.14	-65.01	-4.03	2100.69	194.35	50
20200910	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1562.73	1565.87	1501.41	1508.48	-39.66	-2.56	1765.36	173.59	50
20200911	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1504.10	1542.91	1504.10	1541.15	32.67	2.17	1226.79	128.57	50
20200914	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1552.55	1565.89	1542.04	1558.34	17.20	1.12	1405.14	152.00	50
20200915	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1559.19	1572.76	1556.57	1566.09	7.75	0.50	1443.53	149.31	50
20200916	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1562.73	1564.59	1546.73	1557.16	-8.93	-0.57	1186.23	122.70	50
20200917	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1550.94	1559.65	1533.03	1548.85	-8.31	-0.53	1024.65	118.30	50
20200918	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1547.07	1578.05	1547.07	1576.74	27.89	1.80	1181.36	134.03	50
20200921	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1580.68	1581.46	1552.43	1555.73	-21.01	-1.33	1029.10	114.52	50
20200922	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1539.93	1558.85	1528.81	1533.31	-22.42	-1.44	916.91	107.25	50
20200923	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1538.17	1559.30	1537.82	1553.23	19.92	1.30	821.06	95.03	50
20200924	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1544.39	1561.82	1517.37	1517.40	-35.83	-2.31	1053.57	118.48	50
20200925	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1527.28	1533.52	1513.24	1521.55	4.15	0.27	839.02	91.64	50
20200928	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1531.26	1536.60	1506.54	1511.33	-10.22	-0.67	678.27	79.38	50
20200929	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1518.41	1533.37	1514.23	1525.85	14.52	0.96	711.05	82.53	50
20200930	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1533.45	1538.45	1506.51	1519.01	-6.84	-0.45	763.46	92.88	50
20201009	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1534.07	1553.08	1525.50	1547.60	28.59	1.88	983.42	110.63	50
20201012	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1554.42	1566.42	1539.12	1566.22	18.63	1.20	1318.49	178.39	50
20201013	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1562.44	1572.01	1537.09	1571.65	5.42	0.35	1106.58	154.22	50
20201014	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1596.71	1598.67	1561.14	1565.40	-6.25	-0.40	1650.65	172.80	50
20201015	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1562.61	1570.88	1540.84	1545.94	-19.46	-1.24	1464.45	148.93	50
20201016	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1544.37	1547.68	1535.10	1541.88	-4.07	-0.26	964.65	109.58	50
20201019	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1546.06	1546.06	1521.73	1525.22	-16.66	-1.08	940.22	113.10	50
20201020	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1528.59	1545.09	1522.30	1544.65	19.43	1.27	882.62	108.25	50
20201021	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1547.98	1551.10	1524.90	1531.22	-13.43	-0.87	795.27	111.65	50
20201022	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1530.18	1530.18	1504.29	1510.70	-20.52	-1.34	909.05	121.78	50
20201023	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1517.35	1519.49	1470.19	1473.29	-37.41	-2.48	896.68	125.42	50
20201026	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1468.35	1483.38	1448.78	1479.37	6.09	0.41	808.25	107.29	50
20201027	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1477.43	1479.49	1466.87	1474.25	-5.12	-0.35	747.90	100.54	50
20201028	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1476.40	1498.12	1459.47	1493.38	19.13	1.30	773.81	100.99	50
20201029	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1473.55	1494.10	1465.95	1488.81	-4.56	-0.31	901.73	100.47	50
20201030	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1491.84	1492.57	1443.27	1446.55	-42.27	-2.84	960.69	110.26	50
20201102	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1446.55	1461.60	1434.23	1441.85	-4.70	-0.32	1109.14	128.64	50
20201103	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1450.77	1469.88	1436.95	1467.02	25.18	1.75	1012.35	110.26	50
20201104	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1469.09	1469.09	1442.46	1455.61	-11.41	-0.78	799.01	92.55	50
20201105	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1469.78	1482.58	1460.86	1481.69	26.08	1.79	997.65	109.42	50
20201106	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1483.32	1486.58	1460.88	1474.04	-7.65	-0.52	1298.83	122.73	50
20201109	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1479.64	1501.20	1477.67	1492.22	18.18	1.23	1466.25	159.77	50
20201110	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1502.11	1502.11	1469.07	1476.82	-15.39	-1.03	1203.10	152.04	50
20201111	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1470.62	1471.22	1442.28	1442.39	-34.43	-2.33	872.88	109.31	50
20201112	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1449.51	1459.28	1434.23	1444.18	1.78	0.12	812.61	104.16	50
20201113	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1441.46	1441.96	1423.49	1435.81	-8.37	-0.58	840.73	117.05	50
20201116	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1439.36	1444.98	1433.71	1444.98	9.17	0.64	851.73	112.86	50
20201117	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1447.68	1447.68	1420.91	1431.18	-13.80	-0.96	868.66	117.08	50
20201118	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1430.97	1435.92	1422.29	1429.96	-1.21	-0.08	993.32	122.56	50
20201119	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1425.13	1436.96	1408.20	1432.57	2.61	0.18	1363.00	124.22	50
20201120	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1433.37	1446.72	1429.44	1441.13	8.56	0.60	992.02	109.05	50
20201123	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1440.36	1440.85	1420.90	1426.41	-14.71	-1.02	1085.60	120.36	50
20201124	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1427.20	1430.31	1413.36	1418.41	-8.01	-0.56	1146.34	127.30	50
20201125	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1417.53	1421.68	1396.40	1396.40	-22.01	-1.55	987.21	116.01	50
20201126	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1396.97	1403.55	1388.61	1400.79	4.39	0.31	783.81	97.45	50
20201127	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1400.40	1407.09	1390.69	1402.22	1.44	0.10	827.82	94.49	50
20201130	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1399.89	1438.35	1389.52	1429.23	27.01	1.93	1237.09	150.04	50
20201201	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1426.31	1474.07	1424.11	1472.31	43.08	3.01	1388.05	189.78	50
20201202	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1472.07	1481.69	1464.05	1468.65	-3.66	-0.25	1069.41	144.62	50
20201203	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1464.89	1476.87	1462.84	1468.16	-0.49	-0.03	906.85	112.95	50
20201204	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1468.17	1468.17	1454.88	1465.58	-2.58	-0.18	699.28	91.35	50
20201207	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1465.81	1465.81	1443.15	1445.98	-19.60	-1.34	773.94	92.00	50
20201208	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1449.76	1466.31	1447.13	1448.86	2.89	0.20	691.49	102.89	50
20201209	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1453.42	1454.22	1416.10	1416.11	-32.75	-2.26	723.56	88.14	50
20201210	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1413.42	1428.70	1408.31	1420.78	4.67	0.33	693.58	83.99	50
20201211	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1422.59	1423.53	1364.31	1373.81	-46.97	-3.31	1175.83	129.42	50
20201214	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1371.49	1380.07	1359.50	1379.94	6.13	0.45	824.45	100.81	50
20201215	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1379.40	1399.78	1378.82	1385.83	5.90	0.43	795.18	104.06	50
20201216	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1387.50	1388.98	1359.79	1363.96	-21.88	-1.58	769.12	96.17	50
20201217	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1359.79	1362.32	1335.26	1359.23	-4.73	-0.35	876.03	103.53	50
20201218	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1372.49	1374.40	1357.13	1362.70	3.47	0.26	867.39	106.55	50
20201221	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1361.94	1387.06	1356.61	1381.68	18.98	1.39	1084.45	125.67	50
20201222	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1378.21	1378.21	1356.64	1356.77	-24.90	-1.80	1041.87	128.30	50
20201223	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1356.23	1356.97	1341.35	1353.30	-3.48	-0.26	888.47	106.13	50
20201224	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1346.66	1347.61	1319.66	1319.66	-33.64	-2.49	949.45	99.27	50
20201225	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1315.75	1315.75	1300.79	1305.64	-14.01	-1.06	853.38	93.41	50
20201228	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1299.64	1304.40	1280.84	1285.68	-19.97	-1.53	1020.80	117.82	50
20201229	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1287.75	1335.95	1287.75	1322.78	37.11	2.89	1201.17	140.96	50
20201230	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1322.27	1346.14	1316.73	1341.33	18.55	1.40	905.26	133.18	50
20201231	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1341.96	1363.09	1338.62	1362.33	20.99	1.57	1003.54	130.36	50
20210104	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1367.65	1380.09	1359.79	1376.78	14.45	1.06	1200.81	160.23	50
20210105	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1368.10	1383.58	1356.39	1370.75	-6.03	-0.44	1308.48	165.62	50
20210106	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1369.01	1369.04	1346.58	1361.34	-9.41	-0.69	1209.36	153.24	50
20210107	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1357.49	1359.17	1313.48	1322.89	-38.44	-2.82	1476.38	170.36	50
20210108	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1321.33	1385.63	1321.28	1375.39	52.50	3.97	1893.89	216.46	50
20210111	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1379.21	1398.58	1371.20	1384.99	9.60	0.70	1520.70	201.52	50
20210112	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1377.92	1377.92	1360.67	1373.63	-11.36	-0.82	1157.90	167.75	50
20210113	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1373.78	1380.25	1364.65	1371.93	-1.70	-0.12	1392.73	182.54	50
20210114	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1364.87	1387.68	1360.71	1367.37	-4.56	-0.33	1273.50	177.77	50
20210115	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1365.21	1374.30	1355.94	1364.37	-3.00	-0.22	1059.08	138.93	50
20210118	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1365.94	1390.23	1361.19	1387.21	22.84	1.67	1071.66	142.35	50
20210119	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1384.60	1389.20	1373.46	1381.69	-5.52	-0.40	1312.01	157.24	50
20210120	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1377.60	1389.28	1371.05	1382.37	0.68	0.05	1020.93	120.35	50
20210121	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1386.28	1419.27	1386.28	1410.24	27.87	2.02	1452.01	189.72	50
20210122	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1409.34	1409.34	1378.76	1397.49	-12.75	-0.90	1190.18	153.63	50
20210125	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1388.73	1392.49	1365.59	1373.03	-24.47	-1.75	1124.46	153.52	50
20210126	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1367.80	1383.91	1353.90	1361.39	-11.63	-0.85	1206.95	159.04	50
20210127	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1369.08	1425.53	1364.40	1411.56	50.17	3.69	1904.69	242.68	50
20210128	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1409.49	1435.57	1393.02	1399.05	-12.51	-0.89	1850.55	238.87	50
20210129	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1399.67	1403.34	1362.10	1380.33	-18.72	-1.34	1585.15	200.03	50
20210201	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1378.25	1392.72	1373.72	1392.59	12.27	0.89	1667.90	178.35	50
20210202	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1390.90	1399.44	1372.95	1385.31	-7.28	-0.52	1418.54	168.68	50
20210203	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1382.31	1395.38	1371.35	1374.93	-10.39	-0.75	1450.92	164.51	50
20210204	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1371.28	1371.45	1310.10	1324.67	-50.26	-3.66	1544.37	195.06	50
20210205	399971	中证传媒指数	中证传媒	CSI Media Index	CSI Media	1329.97	1346.84	1305.96	1307.14	-17.53	-1.32	1357.85	149.40	50
